issuenumber,title,issue_summary,resolution
553226,BRASS server,"The user is a graduate student in the Sociology department who is seeking to purchase access to data that needs to be hosted at Purdue. They have questions about the BRASS server, including whether it can be used for data storage, who handles access setup, and whether there are any security protocol templates available. They are also unsure about the best way to securely host and analyze the data.",The user was informed that BRASS is primarily an application server and not suitable for large data storage or sensitive data. They were directed to the Rosen Center for Advanced Computing (RCAC) as a better option for their needs. An expert was also arranged to assist with HIPAA and resource allocation concerns through a coffee hour consultation. The user was provided a link for the consultation.
71858,Bell Gateway,"The user reported that students were unable to submit Jupyter notebook interactive jobs on the Bell Gateway, with jobs remaining indefinitely in the queue. The user inquired about changes in the submission process and requested clarification on the status of the gateway.",The support team confirmed that jobs requesting longer walltime were being held due to a maintenance schedule change. The maintenance was originally scheduled for October 24 but was pushed back to October 31 due to a water issue. The team advised the user to submit jobs with shorter walltime to ensure they are processed after the maintenance.
721703,Gilbreth Gateway issue,"The user is unable to access the Gilbreth cluster through the Gateway web system and is unable to select a queue. The user is part of two groups but is not able to see the queue option in Gateway, and is also experiencing issues when trying to log in via SSH.","The user was informed that groups and queues are separate on RCAC resources, and that they were added to the group but not specifically to any queues. The user was also informed that their account may have been mistakenly removed due to inactivity, and was advised to ask their supervisor to add them back to the queue to continue their work. The user was also informed that they may have been removed due to inactivity on the computing nodes, not the login nodes."
84910,Bell out of space,"The user is experiencing difficulties writing data to Bell scratch, receiving an error message even after deleting a significant amount of data. The user's current scratch usage is approximately 51 GB, and they are attempting to copy a file of similar size.","The support team identified the issue as related to ongoing Bell scratch problems (https://www.rcac.purdue.edu/news/6181). They informed the user that their engineering team is working on a fix and will provide updates on the news page. A maintenance schedule was provided (https://www.rcac.purdue.edu/news/6227), and the user was advised to monitor the situation."
17406,MPI not working for slurm jobs,"The user is experiencing issues with MPI when using SLURM on Anvil, resulting in jobs taking a large amount of time. They are unsure about the correct configuration for their SLURM script.",The support team advised the user to submit the ticket through the ACCESS Help Desk and provided a link for doing so. They also mentioned that a Box account might not have been created automatically and that it would be ready after a script run enabling Duo Mobile. The account should be ready by 12:15. The user was instructed to contact support if they encounter any issues. URL: https://purdue.box.com/
319041,Re: Regarding Installation,The user is experiencing difficulties installing Ovito on the Negishi cluster and is seeking assistance.,The support team determined that the issue was due to a missing library for qt5. They added the necessary library on Negishi and provided instructions for the user to load the qt5 module and run Ovito from the terminal. They also recommended using a computing node with an interactive job to improve performance.
137240,Github Push Error,The user was unable to push changes to a GitHub repository and received an error message. The issue was due to a lack of write access to the repository.,The user was advised to contact the repository owner to request write access.
138243,Ivy Chatbot Ticket,"The user requested access to the training queue in Gilbreth HPC for deep neural network training, which requires more than one GPU and more than 4 hours. The support team clarified that the job must utilize multiple GPUs and run longer than 4 hours to be eligible for the training queue. The user provided several job IDs, but none met the criteria. The user eventually submitted a job that fits the requirements.",The user was informed that the job must utilize multiple GPUs and run longer than 4 hours to be eligible for the training queue. The user was advised to check the job status using the `jobinfo` command. The support team confirmed that the job had completed but was not eligible due to not meeting the GPU requirement. The user was instructed to resubmit the job with the necessary modifications. The issue was resolved when the user submitted a job that fits the criteria.
535982,Data Ingest,"The user inquired about faster data transfer options for uploading data to the data depot, expressing concerns about saturating the gigabit line. They were considering a paid service from Purdue IT but were seeking alternatives, specifically a physical location on campus with 10G access for data depot uploads.",The support team confirmed that the fastest method for data transfer would be through the on-campus network.
518189,RE: Access Approved,"The user requested access to specific RCAC resources, queues, and Unix groups for several individuals.","The support team granted access to the requested resources, and the user was informed that new accounts would be ready for use the following morning. The user was also advised to check the Group History and make any necessary changes on the Queue Management website. Additionally, accounts on the Fortress (HPSS) Archival system were granted if the individuals did not already have access. The user was provided with a contact email for any questions regarding the access process."
57291,Bell Cluster Errors in MATLAB,"The user is experiencing a segmentation fault error when running a script on the highmem node, despite not requiring much memory for the job. The user suspects that the error is related to memory issues but has not been able to resolve it.",The support team confirmed that the jobs against highmem were not using much memory as expected. The user found an alternative set of simulations that work as a substitute and have not encountered the error since.
568799,YCChen: request access to the VASP modules,The user requested access to the VASP module on the HPC system after being added to the license by their advisor.,"The support team added the user's license, and they were advised to try accessing the module later in the day."
548078,I cannot install or update packages in Scholar RStudio Server.,"The user reported being unable to install or update packages in Scholar RStudio Server, receiving a warning about internet routines not being able to be loaded. The issue affected multiple packages and repositories, and was critical for the user's work.","The support team identified that the issue was related to RStudio and provided a workaround by setting the download method to ""curl"" using the `options(download.file.method = ""curl"")` command. The user confirmed that this resolved the issue, and was informed that the default method should no longer require the explicit ""curl"" argument. However, a new issue arose where the user and possibly students were unable to load required modules for package installation. The support team advised checking for duplicate or old tickets and confirmed that the issue was resolved for the user."
140418,Issue Starting an Interactive Job,The user was unable to start an interactive job using the command 'sinteractive' and received an error message. The issue appeared after several months of successful use and persisted for a week. The user also encountered problems with X11 forwarding and using the 'mousepad' command.,"The support team suggested connecting to Negishi through SSH and using a specific login node to resolve the X11 forwarding issue. The user was able to start an interactive job on login01. The user also discovered that starting a new ThinLinc session resolved the X11 forwarding issue. Additionally, the user found that ssh'ing inside a screen did not work correctly, and the 'mousepad' command worked when ssh'd outside of the screen."
444790,Urgent: personnel issue,The user requested the removal of a specific individual's access to all HLA files due to concerns about potential malicious intent.,"The issue was resolved by a support team member who spoke with the user and confirmed that only removal from HLA resources was necessary. The individual's access to specific data was removed, and the user was informed that the person had been terminated. The support team followed up to ensure the issue was fully resolved."
8567,Slow depot access to conda packages,"The user reported long delays (> 30 minutes) in loading Python libraries from a Conda environment in Depot, resulting in zero workers for their Slurm cluster. They also mentioned that their modules are located at /depot/cms/conda_envs/kaur214/modules/.","The issue was resolved through the combined efforts of RCAC storage engineers and vendor support. Depot performance returned to normal levels, as confirmed by a link provided: https://www.rcac.purdue.edu/news/5934. The user was advised to check if the problem persists with Depot usage."
385972,Negishi access,The user was unable to log in to Negishi after being added to the group by their professor.,"The support team provided detailed instructions on how to log in to Negishi via SSH and Thinlinc, including the use of Duo authentication. The user confirmed that both methods were working after following the instructions."
404961,Access request for Globus Connect,The user requested access to the high assurance subscription for Globus Connect but was informed that RCAC does not have this subscription. The user is still unable to transfer files on Globus Connect and is seeking further assistance.,The support team suggested that the user reinstall the Globus client and uncheck the box for high assurance. They also offered a coffee hour consultation to help the user with the process. The user was provided a link to sign up for the consultation: https://www.rcac.purdue.edu/coffee.
684413,Gautschi Highmem Job time extension,The user is running a memory-intensive job on the Highmem code of Gautschi and requires an extension of the job time from 23:59:00 to 70 hours to ensure the job completes successfully.,"The support team resolved the issue by extending the job time limit to 70 hours. The user was informed of the change via email. The job is now expected to complete within the extended timeframe. Refer to the job ID 937565_1 for further details. name, Ph.D."
158711,Please contact to discuss storge needs with Shaswata,"The user requested a consultation to assess storage needs, expressing concerns about scratch purging and seeking the best options for storage, particularly for long-term storage.","The support team suggested the Data Depot as a potential solution, but also mentioned that additional depot space would need to be purchased by the user's PI. They offered an in-person consultation and provided information about a weekly coffee hour for further discussion. The user confirmed availability and was informed that walk-ins are welcome."
235772,Negishi Ques Missing or Unavailable,The user reported being unable to submit jobs or view queues on the Negishi cluster and noticed no news message about the cluster. They inquired about potential maintenance and an estimated time of completion.,The support team confirmed an outage for Negishi and provided a link to the news announcement. They advised that the issue should have been resolved due to the outage. The user was asked to confirm if the problem persists.
683277,Bell error,"The user encountered an error message when submitting jobs on the Bell system, specifically a ""fl:filesystem:AccessDenied"" error related to the /tmp directory not being writable. The issue appears to have been caused by the node starting before it was fully booted, resulting in the /tmp directory not being writable.","The support team investigated the issue and determined that it was likely due to the node starting before it was fully booted, causing the /tmp directory to not be writable when the job started. The user confirmed that the issue has not occurred since then. The support team will pass the suggestion for a system to determine node allocation to avoid assigning booting nodes to jobs starting soon to the appropriate team for further consideration."
143310,Negishi job 14827491 stuck in CG state,The user reported that a job cancellation on Negishi resulted in a stuck job and a queue delay for subsequent jobs.,The support team confirmed an unscheduled Negishi outage on March 4th and provided a link to the outage details. They assured the user that everything has been resolved and encouraged them to reach out if further questions or concerns arise.
514275,MAFFT biocontainers in Negishi not working,"The user was unable to run the Guidance 2 software on the Negishi cluster due to an error indicating that the command 'mafft' does not exist, despite being able to load mafft on its own.",The bioinformatics team installed Guidance with all its dependencies in a new container and provided instructions for loading the module and running the software. The user was advised to use the following command: `$ ml --force purge $ ml biocontainers` followed by `$ ml guidance2` and the guidance.pl command with the appropriate parameters. The team also provided a link to user guides for each biocontainer module at https://www.rcac.purdue.edu/knowledge/biocontainers. They tested the software with a few CDS sequences and confirmed that it seemed to be working.
720520,Access of Professor Gore's computational cores on Bell Cluster,The user requested access to a team on the Bell cluster for a research project with a professor.,"The support team advised the user to request access from their professor, who has the authority to approve access without further involvement from the support team."
86166,Enabling display on Gilbreth node,The user is seeking guidance on how to enable a display and use Visual Studio Code and Spyder on the Gilbreth node while debugging Python programs from a Mac M1 Pro laptop. The user has installed Xquartz but is unsure of the next steps.,The user was advised to use SSH X11 forwarding to connect to the Gilbreth node and access the graphical applications. The user was also provided with a link to the documentation on setting up SSH X11 forwarding: https://www.rcac.purdue.edu/knowledge/article/SSH-X11-Forwarding-101  The issue was resolved during a Coffee Hour session.
765306,Requesting Access to Gilbreth,The user inquired about access to the Gilbreth cluster for GPU-based projects and requested contact information for the process.,"The support team provided a link to request access through the PI and detailed the purchasing process for Gilbreth. They also mentioned the option to submit a project proposal for Anvil, which is funded by the NSF."
136048,Abaqus access request,The user requested access to Abaqus software on RCAC servers for remote experimentation. The user is a PhD student at Purdue University's Indianapolis campus.,The support team asked for clarification about the server the user intended to access. The user provided their Purdue ID and username. The support team did not find any account associated with the provided information.
51253,Re: A100-80G Subscription,The user requested access to two A100-80GB GPUs on the Gilbreth HPC cluster for their research group. They inquired about trial usage and encountered an issue where they were unable to request multiple GPUs for a single job.,"The support team confirmed that the user's request had been fulfilled, and the lusu-k queue should have access to the requested GPUs. They provided guidance on how to request multiple GPUs for a job and explained that jobs submitted in the lab/group queue should start within 4 hours, assuming the queue has enough capacity."
169327,Re: GPUs Purdue Cloud,"The user reported inconsistent performance results when running the same code on GPU Scholar compared to their local GPU, specifically lower F1 scores on Scholar. The issue was related to the use of the `os.listdir()` function in Python when reading image files, which required a `sort()` function to work correctly on Scholar.","The issue was resolved by adding a `sort()` function when using `os.listdir()` to read image files in Python. The user confirmed that the code now runs fine on Scholar, although the root cause of the discrepancy between Scholar and the local GPU remains unclear. The user was informed that their data scientists would further investigate the F1 scores on Scholar."
85543,Assistance,"The user is experiencing issues with a Mac computer connected to Weber, specifically communication problems with external drives and an error message when attempting to run EES on Citrix.",The support team forwarded the issue to experts and requested additional information. A follow-up was scheduled for a personal consultation to address the problems.
255284,Inquiry About Virtual Machine Resources for Faculty,"The user inquired about the availability of virtual machine resources for faculty members, specifically for teaching R in a course. They mentioned using ThinLinc in the past but are no longer able to access it since moving to a different department. They are considering using RCAC Scholar as an alternative and requested guidance on trying it out before making a decision.",The support team confirmed that Scholar is the appropriate resource for the user's needs and suggested setting up the system before the course starts to allow the user to try it out. They also clarified that other clusters would require purchase and are not designed for courses.
366482,ThinLinc,The user is unable to access the ThinLinc client for a class and is trying to connect to the server desktop.eceprog.ecn.purdue.edu. The user encounters a blank screen instead of the expected screen.,The support team advised the user to contact the ECN support team for further assistance since the server is part of the ECN infrastructure. The user was provided a link to the ECN support page: https://engineering.purdue.edu/ECN/Support.
133938,Data Depot Add User,The user requested assistance in adding a new member to a group's data depot storage space.,"The user was directed to the RCAC Group management page, where they can add new members using the ""new member"" button. The PI (Dr. name) is responsible for managing group membership."
134078,Negishi gateway internal server error,"The user was unable to access the Negishi gateway Jupyter notebook using their Purdue credentials and received an ""Internal Server Error"" message since Friday. The issue was initially resolved for another user, but the user in question continued to experience the problem.",The support team confirmed that the issue was resolved on the Negishi gateway. The user confirmed that they were able to log in successfully after the issue was reported.
711485,Data Depot,"The user reported being unable to access the Data Depot using a MacBook and Samba connections, and other lab members were experiencing similar issues.",The support team identified and resolved the issue by implementing a fix. The user confirmed that the connection was working after the fix was implemented.
643745,The Learning module disappeared in gilbreth,"The user reported that modules used for deep learning research, such as learning/conda-2020.11-py38-gpu and ml-toolkit-gpu/all/all, were no longer available, and the corresponding learning kernel in the ipython notebook environment was missing. The user requested guidance on creating a new conda environment and making a new conda kernel for the jupyter notebook.","The support team provided the command to install both jupyter and the kernel: `conda install jupyter ipykernel`. To make the kernel available on the jupyter notebook, the user should run `python -m ipykernel install --user --name=myenv --display-name ""Python (myenv)""`. The user was advised to replace ""myenv"" with the name of the environment they created."
139804,Subscribe Gilbreth A100 node for use in classroom,The user inquired about accessing the Gilbreth GPU for a class of 30 students and asked if they could share one node.,"The support team informed the user that the Gilbreth cluster is primarily for research use and suggested using the Scholar cluster instead, which offers NVIDIA V100 and A30 GPUs for instructional purposes. The user was directed to create a class account via the user portal and provided with a link to the Scholar use policy."
140732,BioContainers Inquiry,The user inquired about editing the source code of a specific BioContainer without affecting the actual package.,The support team requested clarification on the specific BioContainer and the intended changes. No specific resolution was provided regarding the editing of BioContainer source code.
13144,Access of cluster,"The user inquired about the duration of access to Purdue resources, including email and cluster access, after graduation. They also asked about alumni email access and forwarding options.",The support team clarified that access to Purdue resources is controlled by IAMO and subject to account purge. They suggested using the R4P process to maintain access after graduation. They also provided links to relevant documentation on the R4P process and account expiration policies. The user was advised to contact IAMO for further information about alumni email access. A separate message was sent regarding device delivery.
669384,Inquiry About the Conda Environment and Schedule an Appointment,"The user encountered an error while attempting to create a Conda environment for the updated Gilbreth using the command ""conda-env-mod create -p /depot/gdsp/apps/FourCastNetPy --jupyter.""","The support team suggested visiting the coffee hour consultation on Monday for in-person assistance. Although the support team member will be traveling, other staff members will be available to provide the necessary assistance."
101059,"Message (""Message successfully approved."")","The user reported an issue with the ""module load"" command, stating that it was not working as expected on the cluster.","The support team confirmed that the issue was due to a missing modulefile. They added the necessary modulefile and verified that the ""module load"" command now works correctly. The user was instructed to try the command again and confirmed that it was functioning properly. Reference: https://www.rcac.purdue.edu/knowledge/faq/17781 
https://www.rcac.purdue.edu/knowledge/faq/17782 
https://www.rcac.purdue.edu/knowledge/faq/17783 
https://www.rcac.purdue.edu/knowledge/faq/17784 
https://www.rcac.purdue.edu/knowledge/faq/17785 
https"
635914,Tmux cannot work,The user reported that Tmux no longer functions as expected following an update to Gilbreth's operating system from CentOS 7 to Rocky Linux 9.,"The support team provided information about the system update and asked the user to specify the Tmux version, compilation details, usage, and any error messages or logs."
92953,Seeking Potential Opportunities for a (computational) Research Scientist (Dual Career Assistance Program),"The user is a research scientist at the University of Virginia and is interested in exploring potential career opportunities within the Rosen Center for Advanced Computing (RCAC) at Purdue University. They are currently working remotely and are considering a move to West Lafayette. The user has over 10 years of experience in supporting large-scale simulations and analytics, and is interested in opportunities that align with their skills and experience.",The support team advised the user to keep an eye on the Purdue career website for RCAC positions. They were encouraged to apply for specific positions through the application portal when they become available. The user was informed that all positions will be posted on the career website.
377818,"The system keeps glitching, I need help adding Scholar cluster access to my classes","The user encountered an error when attempting to add Scholar cluster access to their sections of CNIT 32200. The error was due to a limitation in the ""department"" field in the class information table of the database, which only allowed four letters.","The support team identified the issue and updated the settings in the database to accommodate the longer department names. The classes have been created, and it is expected that participants will gain access to Scholar within 1-2 days."
650815,Support Purdue’s AI Hackathon – Catapult 2025,"The user is seeking sponsorship from the Rosen Center for Advanced Computing (RCAC) for the Catapult 2025 hackathon, an AI-focused event that aims to bring together students for innovation and entrepreneurship. The user is interested in RCAC's involvement due to the potential for students to gain valuable experience and for RCAC to gain exposure to the AI and entrepreneurship communities. The user provides a sponsorship information page and expresses interest in setting up booths for direct exposure.","The RCAC team expressed interest in sponsoring the Catapult hackathon and asked for further details on the event's requirements. It was mentioned that access to compute resources may not be necessary for the hackathon itself, and the RCAC team suggested that their new supercomputer with an AI partition could be useful for participants' prototypes. The conversation was moved outside the ticket system, and the user was advised to send an email to the specified address for further discussion. The event was confirmed to have concluded successfully."
111848,interactive session job,The user submitted an interactive session request but did not receive a response after waiting for over 4 hours. They inquired about the status of their job.,The support team explained that the job was not started due to an upcoming Gilbreth maintenance on January 24th. The user was advised to submit a job with an end time before the maintenance window. The maintenance schedule can be found at https://www.rcac.purdue.edu/news/6369.
734471,Not able to request more than one GPU from gilbreth standby queue,"The user was unable to request more than two nodes with one A100 GPU each from the standby queue, even after the first request was granted. The second request was revoked during resource configuration, leading to concerns about a potential new rule limiting simultaneous node requests.","The support team confirmed that there is no enforced limit on requesting multiple nodes from the standby queue. However, the user's second job was revoked during resource configuration due to contention or constraint issues (--constraint=K). The team suggested removing the --constraint=K flag or adjusting it to see if that helps. The user was advised to update the support team if the issue persists."
16173,[Gilbreth] Some jobs randomly fail.,"The user reported that when submitting multiple jobs simultaneously on the Gilbreth cluster for TensorFlow, some jobs failed with a message indicating a module load issue, while others ran successfully. The user was unsure why this was happening.","The support team identified that the issue was due to a specific node (`gilbreth-b006`) not syncing correctly with the configuration repository, causing module files to be out of date. The node was marked offline to SLURM to prevent further job submissions. The root cause was not specified further. The user was informed of the resolution and the issue was resolved."
628105,No access to Gautschi - I am trying to compile there and and get benchmark for a meeting tomorrow.,"The user reported experiencing issues logging into Gautschi, a research computing resource, and encountered problems when compiling code and running simulations. The user was getting logged out immediately and suspected a barrier.",The support team confirmed that the user's account on Gautschi was functioning correctly. The user was able to access the system after the maintenance was completed. The support team explained that the login issues were likely due to the system maintenance.
74874,Negishi accounts,The user requested that a geoshare be created on Negishi to facilitate the transition of MyGeoHUB from one account to another. They also requested that the same public keys be used as on the existing account.,The support team successfully created the geoshare account on Negishi and added the requested public keys. The same process was also applied to the nano0 and nano1 accounts.
93121,Bell cluster thinlinc client not logging in,The user reported being unable to log in to the ThinLinc remote desktop interface for the Bell cluster.,The support team confirmed that Bell was under maintenance on the day of the issue. They advised the user to clean up space in their home directory once the maintenance was complete and provided a link to a user guide on using the 'ssh' command. They also suggested using the 'ncdu' command to identify large files taking up space.
349227,installing scalapack 2.2.0,"The user encountered an error while installing Scalapack 2.2.0 on the Negishi cluster using GCC 11.2.0. The error message indicated a mismatch issue, and the user tried various approaches, including using different GCC compilers, but the issue persisted.",The user successfully resolved the issue independently by modifying the Fortran compiler flags to include `-march=native -Wno-argument-mismatch`. The issue was resolved without further assistance from the support team.
781291,Students unable to access RCAC server,The user reported that two students were unable to access the Jupyter Notebook on Gateway Scholar. The issue was resolved after the support team confirmed that the students' accounts were properly provisioned and they were able to log in successfully. A subsequent issue was encountered with a new student who was still unable to access Scholar despite being manually added to the course. The support team identified and resolved the issue by manually adding the student to the necessary group.,The support team confirmed that the students' accounts were properly provisioned and tested their login credentials. They found that the student's account was missing from a group that allows Gateway logins and manually added the account to the group. The support team reached out to the student directly to confirm the resolution.
160993,Proposal Partnership,"The user requested a letter of support from RCAC for a proposed NSF project titled ""Comprehensive Approaches to Highly-Multivariate Spatially-Indexed Data."" The project involves statistical simulation studies, oceanography data analysis, and climate model output. The user inquired about the appropriate contact for this request and expressed interest in potential collaboration with RCAC.","RCAC expressed interest in supporting the project and offered to provide a letter of support. A meeting was scheduled to discuss further details, and the user provided a project summary for the letter."
11855,Datadepot server is too slow,"The user reported experiencing difficulties accessing the contents stored in their datadepot, including virtual environments, due to abnormally high loading times. They also mentioned that the issue seemed to have started after receiving an email about problems with RCAC.",The support team confirmed that the issue was being actively investigated in collaboration with the vendor. They apologized for any inconvenience and assured the user that they were making every effort to restore normal function. The user was informed that they would be kept updated on any significant progress or breakthroughs.
723786,Long read sequencing,"The user inquired about facilities for Long Read Sequencing on cardiac tissue of dogs, which is a natural model for a human disease. The user was seeking guidance on the best cluster for their research needs.","The support team provided detailed information about the Gautschi cluster, including memory, processor, interconnect, and GPU node options. They also mentioned other clusters with different hardware types and the Anvil cluster funded through the NSF. The user was advised to submit a project proposal through the ACCESS website for Anvil."
74616,Re: Access Approved,The user requested access for a specific group member on a specific resource.,The support team confirmed that the user had already added the requested member to their group and provided instructions on how to grant access to the specified resource via the member management portal.
560560,Re: Account Ready,"The user is experiencing difficulties logging into Gautschi, either through SSH or ThinLinc, despite having been granted access. The user is unable to complete the login process using their password and the ""push"" command, and encounters an error message when attempting to log in through ThinLinc.","The support team confirmed that the user's account has been successfully created and provided instructions for accessing Gautschi through SSH and ThinLinc. The user was advised to use their institution credentials and the ""push"" command for multi-factor authentication. The support team also suggested reviewing the user guide for additional information on using Gautschi and other RCAC resources. If the issue persists, the support team will escalate the ticket to the appropriate team for further investigation."
609089,Request: Parallel package on Gilbreth,The user requested the availability of the parallel package on the Gilbreth cluster for improved performance in their use cases.,"The support team confirmed the availability of GNU Parallel on Gilbreth and provided additional suggestions for parallel task orchestration tools, including HyperShell. They also offered a meeting to discuss the user's workflows and needs further. The user confirmed availability for a meeting on Friday afternoon."
158452,Order #13144,The user requested the allocation of 49 TB of storage on the Geddes system.,"The storage was successfully set up, and the user was notified. The order was marked as fulfilled."
114100,Access to Negishi,"The user, a former PhD student, needs access to the remote desktop in Negishi for ongoing projects with their advisor. They are unsure of the process to join their advisor's group and gain access.","The user was informed that access to Purdue resources, including community clusters, is controlled by a valid career account. Their advisor needs to fill out a Request for Privileges (R4P) form, which is handled through the Identity and Access Management Office (IAMO). The user was provided a link to instructions for the R4P process: https://www.purdue.edu/hr/buspur/supportingDocs/r4pRequestorInstructions.pdf. The advisor will fill out the form on the user's behalf."
49133,Access to STATA MP,"The user requested access to STATA MP on Bell for a PhD project, and the support team confirmed that access would require approval from a group manager within the Krannert School of Management.",The user was advised to contact the appropriate group manager to request access to STATA/MP. The support team then clarified that the user would need to request access from the Krannert School of Management.
228599,Inquiry,"The user is a graduate student in the Biological Sciences department who requires a GPU for a pose estimation software (DeepLabCut) to train and run a model. The software needs at least a couple of days to complete the task, but the current method (Google Colab Pro) times out within 24 hours. The user inquired about using a cluster that could support the GPU requirement, with the added consideration that the project does not have any funding.","The support team suggested the Gilbreth cluster, which contains various NVIDIA GPUs (V100s, A10s, A30s, A100s, and H100s). However, access to Gilbreth is not free. The user was advised to ask around and see if any groups would be willing to add them to their subscriptions to Gilbreth. The user was also provided links to the Gilbreth cluster information and pricing."
13098,R computing on the cluster,"The user inquired about setting up parallel computing for R on the Nigishi cluster, expressing concern about the inefficiency of single-threaded R processes on a multi-core system.",The support team provided a link to a tutorial on parallel programming in R and suggested launching R on the Negishi Gateway to test parallel performance. They also mentioned that further discussions could be arranged if needed.
14844,negishi: Failed to register worker 01000000ffffffffffffffffffffffffffffffffffffffffffffffff to Raylet,"The user encountered an error when running a workflow using the name tool on a login node, specifically a 'failed to register worker' issue.","The support team suggested running the workflow in an interactive job instead of a login node, which resolved the issue. They also recommended controlling the number of cores during the name init using the 'ignore_reinit_error=True' and 'num_cpus=4' options."
