issuenumber,title,issue_summary,resolution
6735,RCAC folder access,User needs assistance to access Dr. Nemali's RCAC folder,"To gain access to Dr. Nemali's RCAC depot folder, follow these steps:
   1. Request account on the RCAC system: https://www.rcac.purdue.edu/account/request
   2. Once you have an account, inform Dr. Nemali that you need to be added to his unix groups within the depot folder. This will grant you access to the folder."
7198,Question on install package and pathon 3.9.6,User is unable to install rsome package under Python using conda and requests assistance in creating a conda environment with Python 3.9.6.,"The user can create a conda environment with the desired Python version (3.9.6) by running the following command:

```bash
conda create -n xxx python=3.9
```
Replace `xxx` with an environment name of your choice. For more information, refer to the official conda documentation here: https://docs.conda.io/projects/conda/en/4.6.0/commands/create.html"
7331,Removed Files but Disk Quota Exceeded,User is facing a disk quota exceeded error on Gilbreth HPC server and needs assistance in identifying the directory to be emptied or moved to save space.,"To analyze and identify the directory taking up most of the storage, the user can use the 'ncdu' command-line tool. Here is how to use it:

```bash
ncdu -r /path/to/directory_you_want_to_analyze
```
In this case, since the user is facing the issue in their home directory, they can run the following command:

```bash
ncdu -r $HOME
```
The output will provide a breakdown of disk usage for each folder (and subfolders). In the provided example, it looks like the .conda folder and its related conda environments are taking up a significant amount of space. The user can consider moving or removing files from these folders to free up space. It is also recommended to install future conda environments in a different location such as /depot space. For more information on using Conda on Gilbreth HPC server, refer to this guide: https://www.rcac.purdue.edu/knowledge/gilbreth/run/examples/apps/python/packages"
7454,Unable to Install Ovito (Open Visualization tool) on Bell using Conda,Graduate Research Assistant was unable to install Ovito on the Bell cluster using provided lab installer or `module load anaconda conda install ovito` command.,"It is not explicitly stated how the issue was resolved in this ticket exchange, but it was confirmed that the graduate research assistant was able to come to a resolution."
7704,Re: Unable to Install Ovito (Open Visualization tool) on Bell using Conda,Unable to Install Ovito (Open Visualization tool) on Bell using Conda via module anaconda or existing installation from the lab,"To resolve the issue with installing Ovito on Bell using Conda, follow these steps:

   a. Check if the necessary environment modules are loaded:
      ```
      module avail
      ```

   b. Load the anaconda module if it is not already loaded:
      ```
      module load anaconda
      ```

   c. Create and activate a new Conda environment (assuming you don't have one already):
      ```
      conda create -n ovito_env
      conda activate ovito_env
      ```

   d. Install Ovito in the activated environment:
      ```
      conda install -c conda-forge ovito
      ```

   e. After successful installation, check if Ovito is available within your Conda environment by using the following command:
      ```
      conda list ovito
      ```

   f. If you still face any issues, ensure that the appropriate OpenGL context support is enabled on your Bell account and/or system configuration. This may require additional assistance from the system administrators or Ovito developers. For more information, please refer to the following documentation:
      - https://docs.ovitosystems.org/en/latest/installation.html#windows
      - https://support.hpcugrads.com/hc/en-us/articles/360024850671-Enabling-OpenGL-Context-Support-on-Bell"
7705,Re: Unable to Install Ovito (Open Visualization tool) on Bell using Conda,User is unable to install Ovito (Open Visualization tool) using Conda on the Bell cluster.,"To resolve this issue, first ensure that you have loaded the appropriate modules for your workload manager and desired software environment on Bell. For example, if you are using SLURM, you can load the necessary modules with the following command:

```bash
module load slurm/<version> anaconda3
```

Replace `<version>` with the version of SLURM installed on the system. After loading the module, try installing Ovito using Conda again:

```bash
conda install ovito
```

If you still encounter issues with the installation, consider checking if there are any known incompatibilities between Ovito and the software environment on Bell or contacting the software developers for further assistance."
7753,Gilbreth Slow,"The user's HPC system, Gilbreth, has been experiencing significantly slower performance over the past couple of days, including long load times for Jupyter Notebooks and remote desktops, and slow package installation.","The engineering team at Purdue Information Technology is investigating the issue, which they suspect is related to storage problems. Updates on the issue can be found on the website https://www.rcac.purdue.edu/news/5934. The team has made several modifications and reboots that have led to a significant improvement in the depot performance. Users are encouraged to check if their workflow is functioning better now, and further updates will be provided via the same webpage when more information is available from the storage vendor."
7756,Gilbreth K cluster node purchase,Request for information on purchasing and adding a node with A100 80GB RAM to an existing account in Gilbreth cluster (kildisha).,"The process for purchasing a Gilbreth K GPU(s) is as follows:
   - The PI will log into the RCAC website and navigate to the Purchase page (<https://www.rcac.purdue.edu/orders/products?search=Gilbreth&category=22&restricteddata=*&public=1>)
   - Select the product 'Gilbreth A100-80GB GPY Access' (5 years or annual subscription), adjust the quantity (the unit is per GPU/half K node) and add to cart
   - Proceed with the purchase by entering account number, notes, etc. - The business office will first take actions on the account part and once it's done, it will be routed to our business office to fulfill the order
   - Once the order was fulfilled, the resources on Gilbreth will be set and added to PI's group (i.e. kildisha)
   - Let us know if you have further questions."
362449,Pymks,User is unable to download and run the 'pymks' package on Weber due to security restrictions and is experiencing proxy error messages while trying to create a custom environment.,"The user should check if they have a working environment built outside Weber that contains the `pymks` software approved by ECO in their Technology Control Plan (TCP). If so, they can ingress this existing `conda` environment to Weber. If not, the HPC team has built a `pymks` environment, and it is being reviewed for security and approval. Once approved, it will be ingressed and installed to the user's project space under `conda-envs/pymks-env`. To activate the environment, load an Anaconda module and run `source conda-envs/pymks-env/bin/activate`. The user may need to run `conda-unpack` the first time they activate. Once activated, they should be able to import `pymks`, etc., within Python."
7869,access to python2 in anvil purdue environment,User needs to run a Python2 script on Anvil HPC system and wants to know if there is a module available or how to install Python2.,"The user can create a new conda environment (e.g., 'conda create -n xxx python=2.XX' or 'conda install python=2.xx') on Anvil HPC system to run Python2 scripts. They should ensure to create a separate environment for this purpose to avoid conflicts with their existing environments. It is recommended to use the ACCESS Help Desk (https://support.access-ci.org/open-a-ticket) for future Anvil-related issues."
7970,Issue with Gilbreth,Student Lydia is unable to generate expected output from a job run on Gilbreth HPC and desires guidance on potential issues and resolution.,"The issue seems to be related to the job termination due to reaching wall time limit, as indicated by errors in the 'slurm-jobid.out' files. To address this, it is suggested to increase the wall time for the jobs and try again. Additionally, if Lydia wants to print all training results into a single file rather than the slurm output file, she can use a command like `python xxxx > training.out` during job submission. This will write all outputs from that python run into the 'training.out' file. For debugging purposes before submitting a batch job, it is recommended to request an interactive job using 'sinteractive' and run the python workflow there. This will provide an interactive session to run the code and see the results directly. Here is an example of how to submit an interactive job:

```
sinteractive -A guo675-h --nodes=1 --gpus-per-node=1 --ntasks=1 --cpus-per-task=16 --time=0-3:00:00 --job-name disprior_test
```

After getting resources, Lydia can run the commands after '#SBATH' lines. For instance, `module load anaconda` followed by `module load cuda`. This should help with debugging and prevent the job termination due to time limits in the future."
8093,Unable to Access ThinLinc,User cannot login to ThinLinc on Bell cluster due to incorrect password entry method.,"To login Remote Desktop for Bell, the user needs to use the new Purdue Login method. Instead of entering just a password, they should type their password followed by `',push'`. For example, if the password is '123456789', they would type '123456789,push'. This should either trigger the Duo app push request or the four-digit DUO push code followed by ',push'."
8567,Slow depot access to conda packages,Long delays in loading Python libraries from a Conda environment located at /depot/cms/conda_envs/kaur214/modules/ and issue with zero workers for the Slurm cluster after loading Conda packages.,"The delay in loading Python libraries and the issue with zero workers for the Slurm cluster were caused by degraded performance of Data Depot, which has now returned to normal levels. Please ensure your Conda environment is functioning correctly after the resolution of the performance issue at Data Depot. For more information about this incident, please refer to: https://www.rcac.purdue.edu/news/5934"
8987,Conda module installing FEniCSx,The user is unable to create and configure FEniCSx environment using conda due to the installation getting stuck during the execution of transaction. This issue might be related to current depot outage and insufficient home storage.,"- Temporarily create the conda env in your home directory instead of group depot until the depot issue is resolved. - To create the conda environment, use the following command: `conda create -p ~/apps/FEniCSxfenicsx-env`
   - Then install FEniCSx and its dependencies using the conda command: `conda install -c conda-forge fenics-dolfinx mpich pyvista`. This should complete successfully without getting stuck."
9028,PSS/RCAC Secure Endpoints (AMP) Meeting,Assistance needed to identify the Cisco Secure Endpoints admin for RCAC department at Purdue University to schedule a meeting regarding policy changes and connector management options.,"To resolve this issue, contact the appropriate individual at RCAC (RCAC department's Cisco Secure Endpoints admin) to arrange a meeting. Discuss potential dates and times that work best for all parties involved. Once the contact has been made and the meeting scheduled, update the meeting details in name and close this ticket."
9288,[RCAC-Cluster-Purchase] Inquiry about GPU Access Promotion,Inquiry about bulk pricing promotions for Gilbreth A100-80GB GPU Access units.,"Currently, there are no ongoing promotions for purchasing multiple units of the Gilbreth A100-80GB GPU Access. We recommend checking the RCAC website periodically for any updates on promotions or contacting us directly if you have any further questions regarding pricing and availability."
9431,module fails in jobsubmissionfile,Error running 'module' command due to incorrect interpreter used in job submission file,"Change the current interpreter from '#!/bin/bash' to '#!/bin/sh -l', or add the lmod initialization command 'source /etc/profile.d/modules.sh' in the submission file before using the 'module' function (before the 'module purge' line)."
9488,Emilia T: The kernel in the bell cluster is not connectiong,Cannot load custom kernel in OnDemand Jupyter Notebook on Bell Cluster,- Attempt to add the conda environment to the kernel by running 'ipython kernel install --user --name=my-kernel-name' (replace 'my-kernel-name' with your preferred kernel name) within the conda environment. - Check if the custom kernel appears and connects to the conda environment in OnDemand Jupyter Notebook.
9641,Gilbreth Degraded update,"User is experiencing slow performance with Gilbreth and pip installations taking over a day, seeking resolution or updates.",The engineering team has made several modifications and reboots that have resulted in significant improvement for the depot performance. Users are advised to check if their workflow on Gilbreth is now working better. Updates will be posted promptly at <https://www.rcac.purdue.edu/news/5934> as more information becomes available from the vendor.
10315,License server machine fingerprint,Renewal of software license for Cadence requires MFP commands and application form completion.,"To renew the software license for Cadence, provide the following information to the licensing department:
   - Application Form Completion: Complete the required application form for the software license. - MFP Commands: The MFP commands per platform are as follows:
     For Linux: `mfp -host` or `mfp -host | grep HostID`
     For Windows: Open a command prompt and run `mfp -host` or `mfp -host | find /i ""HostID""`
   - HostID/MAC Address: Either 00:15:5d:54:6a:11 (00155d546a11) or 52:54:00:1c:72:ab (5254001c72ab)
   - IP Address: 128.211.140.98
   - Hostname: license.rcac.purdue.edu
   - Domain Name: rcac.purdue.edu"
10460,Gilbreth Issues,Several PhD students in Prof. [Name]'s lab are experiencing issues with Gilbreth's download/upload speeds and read/write operations due to Depot storage malfunction.,"The storage engineers at RCAC have resolved the performance issues with Data Depot, restoring it to normal levels. For updates on this matter, please monitor the news page at https://www.rcac.purdue.edu/news/5934 and check your email for any updates regarding Depot usage. If you continue to experience problems, please contact support for further assistance."
10463,Extremely Slow Cluster Gilbreth,"The issue was with the degraded performance of Data Depot on Gilbreth, causing slowdowns in the workflow and making it impossible to make meaningful progress on the cluster.","Data Depot performance has returned to normal levels. If there are still problems with Data Depot usage, users are encouraged to report them. The link to the news update about this issue can be found at https://www.rcac.purdue.edu/news/5934"
11129,Compiling issue,"User is unable to compile a module called qmlcode using either Intel or GCC compilers due to errors related to missing blas, lapack libraries, and lpthread file. The issue persists even after loading the required modules (intel-mkl, netlib-lapack, openblac).","After investigation, it was found that the missing pthread file might be associated with Intel compiler on Bell. Here are some steps to try resolving the issue:
   - Load the netlib-lapack module before compiling the code: `module load netlib-lapack`
   - If you are using Intel compiler, there is a reported issue and patches for qmlcode in this link (https://github.com/qmlcode/qml/issues/124). - If using GCC, try compiling with gcc/9.3.0: `module load gcc/9.3.0 anaconda/2020.11-py38 netlib-lapack/3.6.0` and activate the rdkit-gcc environment: `conda activate rdkit-gcc`. Then, import qml with Python: `python >>> import qml`."
11205,Package install request on Bell cluster,"Request to update package ""cactus"" on the Bell cluster from version 2.5.2 to 2.6.4","Install the updated version of package ""cactus"", specifically version 2.6.4, on the Bell cluster by following these steps:
   - Download the latest version of the package from the provided GitHub link: https://github.com/ComparativeGenomicsToolkit/cactus/releases
   - Transfer the downloaded package to the appropriate directory on the Bell cluster
   - Unpack the archive containing the updated version, if necessary
   - Update the modulefile for the ""cactus"" package in the appropriate modules directory to include the new version details
   - Load the updated module for the ""cactus"" package using the 'module load' command
   - Verify that the updated version of the package is installed and functioning correctly by running relevant tests or commands as needed."
11263,Fwd: GPU Cluster,Researcher requests access and clarification about pricing for GPU clusters at Purdue for research purposes,"The Purdue cluster called Gilbreth offers A100 and A10 GPUs for purchase. Access requires a purchase. You can find the introduction to Gilbreth at this link: https://www.rcac.purdue.edu/compute/gilbreth. The cost of GPU nodes depends on GPU types and subscription years. Detailed pricing information can be found here: https://www.rcac.purdue.edu/orders/products?category=22. If you have further questions regarding Gilbreth, please feel free to ask."
12791,Cannot control Depot files,"The user is experiencing issues with file accessibility and ownership on the Depot drive, specifically in the folder ""Y:\data\Nielsen_data_raw\H_yogurtielsen_extracts\HMS\Master_Files\Latest"". They are also unable to delete files created by their RAs.","The user has been instructed to use the ""Fix Permissions"" tool, which is designed to handle such issues with file ownership and permissions. Their colleague initiated the tool for the ""/depot/ma155/data"" directory and will communicate when it completes. The user can also directly navigate to their group user management page at [this link](https://www.rcac.purdue.edu/account/groups/1741/storage), find the 'data' directory, and use the 'Fix Permissions' button if needed. This tool is asynchronous, so the user may need to refresh the page to see updates for its status. If issues persist after the fix has completed, the user should reach out again."
12810,"""nanox-K"" queue on the Gilbreth cluster","The user, Assistant Professor Elmore, needs to monitor GPU usage and identify the compute node address of a specific job in the ""nanox-K"" queue on the Gilbreth cluster, without affecting the existing resource allocation for GPU jobs.","- To get a Slurm job on a particular host (for monitoring), use the command `sinteractive -A nanox-K -w <nodename> ...--gpus-per-node=1`. However, this requires an empty GPU on that node. - Monitoring an existing job can only be done by the user who owns the job. The user can find the host the job is running on using the command `jobinfo x`, where 'x' is the job ID of the running job. After that, the user can directly SSH to that host to run the monitoring tool of interest. - To check which user is currently using the queue, use the command `squeue -A nanox-K`. - For real-time usage monitoring of a job, utilize the monitor utility as explained by the colleague: <https://www.rcac.purdue.edu/index.php/knowledge/gilbreth/run/examples/slurm/monitor>. For tracking GPU usage trends over time, check out XDmod at <http://xdmod.rcac.purdue.edu/>. Note that the user may need to set up a personalized xdmod page for detailed information."
272733,Access to github,Requests access to GitHub instance github.itap.purdue.edu for two users in the Deans office.,"The user should log into GitHub using their Purdue credentials. While they do not have an account yet, it should be created upon first login."
480168,Jobs Killed by OOM,The user is experiencing job terminations due to memory limitations while running a large number of repetitions on Negishi HPC cluster.,"To assist with troubleshooting the issue, it would be helpful to have a detailed understanding of the user's workflow. Specifically, if the user can share their code and any relevant configuration details, this may provide insights into potential memory bottlenecks. The support team is available for an online meeting (preferred) or email communication to discuss the issue further. The user has suggested an availability starting at 1:30 PM tomorrow, with a preference for a 2 PM meeting time, and availability next week except for Tuesday 10-11 AM. Additionally, the support team has offered to have an expert available during Monday's coffee hour to help with this issue. If the user is unable to attend the coffee hour, the support team can set up an alternative meeting."
554611,Spyder application,"User is unable to launch Spyder application through Krannert Remote Desktop and receives an ""Untrusted application launcher"" error message.","Open the terminal and type `module load anaconda`. Run `module list` to ensure that Anaconda is properly loaded. Then type `spyder` and the IDE should open. This works because Spyder is pre-installed with Anaconda. If this resolves the issue, please let the support team know so they can address the broken Launcher command."
12827,4 A100 GPUs,Researcher needs customization for 4 A100 GPUs with NVLink due to limitations in Sub-cluster K and critical need for training big models.,The researcher is awaiting a response from the vendor regarding the customization of 4 A100 GPUs with NVLink. The support team is still in communication with the vendor and will provide an update when they receive more information.
13021,sbatch script run fail,A Ph.D. student is experiencing issues with a Singularity image running their code in a specific HPC cluster (Gilbreth). The issue occurs inconsistently across job submissions and seems to be related to the activation of a conda environment within the image.,"The student should remove the conda environment from their image and install necessary packages in the default paths. This change is expected to resolve the inconsistent behavior when launching the container on various cluster nodes. If the container only needs one conda environment, it's recommended not to create it and instead install everything to the base environment to simplify the setup inside the container."
13534,Bell cluster issues,Graduate Worker in Department of Entomology at Purdue University was unable to run jobs on files located in the scratch folder due to exceeded quota.,"The issue was resolved when the user removed some files from their scratch folder, allowing them to meet the quota and proceed with running their jobs. The Depot service has also recovered."
13797,Keeping a Process Alive,"User's process (""slurm_gpustat"") keeps dying after a few hours and the user would like to keep it running for multiple days. The process is launched using ""nohup"" command in the front-end of Gilbreth.","To ensure the process stays alive, the user should submit the job into the computing nodes instead of running it on the front-end of Gilbreth. This will allow setting a running time for the job. The user can find instructions about how to submit a job on Gilbreth with SLURM in this guide: [Gilbreth Job Submission Guide](https://www.rcac.purdue.edu/knowledge/gilbreth/run/slurm/submit). Additionally, the script's ""UNIX double fork method"" will put itself in the background without the need for anything like `nohup`. Be cautious about tracking the process from time to time and not duplicating it unintentionally. The user is also reminded to be careful when launching processes on different nodes, as it might cause issues due to the shared /home file system. Front-ends may get rebooted occasionally, so they are not ideal for running daemons. If the user continues to run the gpu-stat collection on the front-ends, it would be helpful to understand its purpose. The user has found a workaround by writing a program that remotely checks if their daemon is running on Gilbreth and relaunches it if necessary."
14525,HPC subscription order,User's RCAC subscription is mixed up with two orders for different GPU types (A10 and A100). The user wants to cancel the A10 order and keep only the A100 order.,"The support team has acknowledged the issue and will forward the request to their business office to handle the orders. They have cancelled the A10 order and set up the user's access to the A100 so they can now use the ""name-k"" queue. The order #11422 still needs approval by a specific person in the user's business office (named Marianowski). The support team will send a system reminder for the approval, and they have informed the user that they will provide updates when it is done."
16070,Keeping a Monitoring Process Alive,"The user's process named ""slurm_gpustat"" in the /home/gauenk/Documents/packages/slurm_gpustat/ directory keeps dying after a few hours, despite being launched with a ""nohup"" command and running multiple processes without issue. The goal is to capture GPU usage on Gilbreth for an extended period (e.g., a week).","To ensure the process stays alive over multiple days, the user has resolved their issue by monitoring and relaunching the program remotely when it stops, instead of relying solely on the ""nohup"" command."
16180,[Urgent] My bell cluster freezes,Bell user's cluster session was frozen for 12 hours and unresponsive.,The user can kill their current session and start a new one by following the provided instruction: https://www.rcac.purdue.edu/knowledge/bell/faq/login/errors/thinlinc_session_frozen.
16899,FW: Routine: Migrating to Purdue GitHub,User at Purdue University Libraries & School of Information Studies is seeking assistance in migrating from their self-hosted GitLab instance to Purdue GitHub and scheduling a meeting to discuss the transition of libraries to GitHub.,"To assist with the migration from the self-hosted GitLab instance to Purdue GitHub, it is recommended to schedule a meeting with the user to discuss possibilities for transitioning their libraries to GitHub. As of the provided details, they have 10 active users (38 inactive), 163 repositories, and 10 groups. It is important to note that current assignees are ITAP_RC_SUPPORT. For further assistance, please contact name, PhD Senior Computational Scientist at Rosen Center for Advanced Computing."
